epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.715,1.80278,1.87799,1.33165,0.46909,0.28376,0.21447,0.10616,1.72634,1.2574,1.37852,0.00333052,0.00333052,0.00333052
2,462.329,1.62011,1.22304,1.20347,0.40038,0.25703,0.2093,0.10261,1.75546,1.15986,1.37985,0.00659788,0.00659788,0.00659788
3,679.646,1.64342,1.21226,1.20712,0.42882,0.27284,0.24279,0.11929,1.71523,1.1435,1.35189,0.00979925,0.00979925,0.00979925
4,893.799,1.64558,1.18187,1.20805,0.50835,0.29822,0.25273,0.12372,1.72227,1.09918,1.36342,0.009703,0.009703,0.009703
5,1108.38,1.61113,1.14321,1.19832,0.44278,0.30298,0.25811,0.12625,1.67414,1.0926,1.35626,0.009604,0.009604,0.009604
6,1346.16,1.58464,1.09668,1.18602,0.39397,0.29011,0.25738,0.12737,1.68878,1.06551,1.3565,0.009505,0.009505,0.009505
7,1587.46,1.56832,1.0717,1.18396,0.36653,0.36899,0.26632,0.13105,1.67623,1.05661,1.36568,0.009406,0.009406,0.009406
8,1824.14,1.54792,1.05344,1.17021,0.27365,0.36821,0.2683,0.13491,1.65718,1.06606,1.34883,0.009307,0.009307,0.009307
9,2057.79,1.53366,1.02932,1.16843,0.58313,0.2908,0.29607,0.1514,1.64848,1.0225,1.34123,0.009208,0.009208,0.009208
10,2279.35,1.51306,1.01683,1.15722,0.35633,0.38123,0.30796,0.15698,1.63054,1.01552,1.33299,0.009109,0.009109,0.009109
11,2499.66,1.5063,1.00656,1.15319,0.47063,0.33472,0.31079,0.15848,1.64007,1.02126,1.3403,0.00901,0.00901,0.00901
12,2719.58,1.49558,0.99707,1.15208,0.34169,0.41177,0.29998,0.15592,1.62468,1.01994,1.33909,0.008911,0.008911,0.008911
13,2939.57,1.48478,0.98892,1.14511,0.46963,0.35966,0.30472,0.15894,1.62667,0.99869,1.34213,0.008812,0.008812,0.008812
14,3159.58,1.47606,0.98176,1.143,0.43615,0.40908,0.30777,0.15933,1.60671,0.99326,1.33198,0.008713,0.008713,0.008713
15,3379.75,1.47014,0.97482,1.13662,0.4008,0.38982,0.33636,0.17466,1.62088,0.99055,1.34488,0.008614,0.008614,0.008614
16,3599.98,1.45827,0.95792,1.13743,0.44342,0.36894,0.34151,0.18591,1.61209,0.97815,1.33853,0.008515,0.008515,0.008515
17,3820.25,1.4531,0.95384,1.13099,0.40394,0.40891,0.32935,0.17408,1.5932,0.98811,1.32051,0.008416,0.008416,0.008416
18,4040.2,1.45023,0.9474,1.13406,0.38355,0.42815,0.30938,0.16193,1.59761,0.98165,1.32361,0.008317,0.008317,0.008317
19,4260.11,1.4375,0.94313,1.126,0.41558,0.42815,0.34263,0.18558,1.5939,0.97515,1.32479,0.008218,0.008218,0.008218
20,4480.05,1.42862,0.92557,1.11964,0.3724,0.40749,0.36406,0.20275,1.5949,0.96596,1.32625,0.008119,0.008119,0.008119
21,4699.96,1.42403,0.91977,1.11852,0.43471,0.39798,0.35966,0.19298,1.59427,0.95835,1.33327,0.00802,0.00802,0.00802
22,4919.9,1.4205,0.92099,1.12102,0.42,0.43982,0.3523,0.18831,1.58949,0.97037,1.33291,0.007921,0.007921,0.007921
23,5139.86,1.41766,0.91163,1.11564,0.40102,0.46218,0.32674,0.17294,1.58323,0.96406,1.32436,0.007822,0.007822,0.007822
24,5359.51,1.40517,0.90232,1.11113,0.44899,0.40195,0.31165,0.16788,1.59856,0.95825,1.33535,0.007723,0.007723,0.007723
25,5579.1,1.39965,0.89895,1.10919,0.37121,0.47241,0.33805,0.17974,1.57899,0.96105,1.3213,0.007624,0.007624,0.007624
26,5798.89,1.39087,0.89254,1.10696,0.47877,0.4645,0.35086,0.19214,1.58861,0.95356,1.32845,0.007525,0.007525,0.007525
27,6018.66,1.38896,0.89121,1.10357,0.50428,0.41278,0.38779,0.21423,1.58075,0.95518,1.32448,0.007426,0.007426,0.007426
28,6238.8,1.37969,0.87636,1.09831,0.45437,0.41116,0.36632,0.20285,1.59066,0.9497,1.33298,0.007327,0.007327,0.007327
29,6464.66,1.37348,0.87044,1.09675,0.51408,0.45064,0.35951,0.19897,1.57978,0.94509,1.32729,0.007228,0.007228,0.007228
30,6688.92,1.36823,0.86758,1.09388,0.50441,0.45683,0.38075,0.20969,1.57987,0.94453,1.32734,0.007129,0.007129,0.007129
31,6913.17,1.36477,0.86213,1.09261,0.40631,0.43369,0.37331,0.19637,1.59179,0.94055,1.33966,0.00703,0.00703,0.00703
32,7138.3,1.35143,0.85506,1.0892,0.45094,0.44801,0.35002,0.18822,1.57519,0.94141,1.33389,0.006931,0.006931,0.006931
33,7362.74,1.35455,0.85509,1.09397,0.4817,0.41475,0.38082,0.2074,1.59057,0.93441,1.34149,0.006832,0.006832,0.006832
34,7586.98,1.34247,0.8461,1.08102,0.41947,0.42252,0.38023,0.21149,1.59332,0.93922,1.34427,0.006733,0.006733,0.006733
35,7811.85,1.34248,0.83894,1.08207,0.47327,0.39629,0.34019,0.18495,1.59244,0.93859,1.34214,0.006634,0.006634,0.006634
36,8036.5,1.33789,0.8359,1.07904,0.44377,0.42835,0.36294,0.20428,1.58544,0.93739,1.33703,0.006535,0.006535,0.006535
37,8261.27,1.32343,0.82906,1.0761,0.4319,0.42516,0.35934,0.19513,1.59342,0.9358,1.3448,0.006436,0.006436,0.006436
38,8485.98,1.32033,0.82016,1.07336,0.42411,0.43818,0.35158,0.19811,1.60033,0.93618,1.35224,0.006337,0.006337,0.006337
39,8711.2,1.31211,0.80969,1.06987,0.38955,0.44153,0.35958,0.20765,1.58915,0.93965,1.3392,0.006238,0.006238,0.006238
40,8937.07,1.31059,0.81235,1.07019,0.42771,0.4287,0.38784,0.22127,1.59016,0.93422,1.3437,0.006139,0.006139,0.006139
41,9162.06,1.30621,0.80523,1.06787,0.39166,0.46879,0.36349,0.20281,1.60118,0.93286,1.35362,0.00604,0.00604,0.00604
42,9387.9,1.29841,0.7992,1.06207,0.46227,0.435,0.38062,0.20965,1.60227,0.9378,1.3596,0.005941,0.005941,0.005941
43,9613.55,1.29176,0.79287,1.0615,0.46734,0.45947,0.37889,0.21122,1.60483,0.93114,1.35925,0.005842,0.005842,0.005842
44,9839.18,1.28562,0.78646,1.06165,0.50995,0.44523,0.38121,0.21619,1.59969,0.93129,1.3573,0.005743,0.005743,0.005743
45,10067.8,1.28174,0.78145,1.05712,0.49776,0.41031,0.37261,0.21044,1.60562,0.93406,1.36175,0.005644,0.005644,0.005644
46,10289.3,1.27173,0.77199,1.05436,0.52271,0.43563,0.37592,0.22005,1.61264,0.931,1.37114,0.005545,0.005545,0.005545
47,10520.3,1.26919,0.7701,1.05479,0.46178,0.42623,0.37069,0.20319,1.60348,0.93434,1.3656,0.005446,0.005446,0.005446
48,10751.8,1.26084,0.76551,1.05222,0.45867,0.46528,0.38302,0.20715,1.60555,0.93533,1.36682,0.005347,0.005347,0.005347
49,10983.3,1.25694,0.75797,1.04716,0.46074,0.42491,0.35906,0.20394,1.61353,0.93028,1.37819,0.005248,0.005248,0.005248
50,11214,1.25383,0.75748,1.04699,0.4214,0.4354,0.35638,0.20007,1.61864,0.93185,1.38353,0.005149,0.005149,0.005149
51,11444.6,1.24378,0.74582,1.04157,0.42497,0.42435,0.34784,0.19325,1.61822,0.93661,1.38122,0.00505,0.00505,0.00505
52,11676,1.24179,0.74435,1.03892,0.46017,0.43858,0.35966,0.1976,1.61321,0.93259,1.37793,0.004951,0.004951,0.004951
